code;nom;annee;niveau_arborescence
5505;SA à participation ouvrière à conseil d'administration;2020;3
6100;Caisse d'Épargne et de Prévoyance;2020;3
5800;Société européenne;2020;3
8170;Régime d'assurance chômage;2020;3
6539;Société civile foncière;2020;3
7470;Groupement de coopération sanitaire à gestion publique;2020;3
5625;SA immobilière d'investissement à directoire;2020;3
9900;Autre personne morale de droit privé;2020;3
6575;SCP de directeurs de laboratoire d'analyse médicale;2020;3
6595;Caisse locale de crédit mutuel;2020;3
5530;SA d'aménagement foncier et d'équipement rural (SAFER) à conseil d'administration;2020;3
7378;Régie d'une collectivité locale à caractère administratif;2020;3
4130;Exploitant public;2020;3
6533;Groupement agricole d'exploitation en commun (GAEC);2020;3
8450;Ordre professionnel ou assimilé;2020;3
6521;Société civile de placement collectif immobilier (SCPI);2020;3
7322;Association foncière urbaine;2020;3
9222;Association intermédiaire;2020;3
6220;Groupement d'intérêt économique (GIE);2020;3
7313;Section de commune;2020;3
5599;SA à conseil d'administration (s.a.i.);2020;3
2700;Paroisse hors zone concordataire;2020;3
93;Fondation;2020;2
64;Société d'assurance mutuelle;2020;2
5610;SA nationale à directoire;2020;3
6589;Société civile de moyens;2020;3
5554;SA coopérative (d'intérêt) maritime à conseil d'administration;2020;3
8150;Régime maladie des non-salariés non agricoles;2020;3
1000;Entrepreneur individuel;2020;3
7354;Syndicat mixte fermé;2020;3
7389;Établissement public national à caractère administratif;2020;3
61;Caisse d'épargne et de prévoyance;2020;2
5555;SA coopérative de transport à conseil d'administration;2020;3
6563;SCP d'avoués d'appel;2020;3
83;Comité d'entreprise;2020;2
6566;SCP de commissaires-priseurs;2020;3
5451;SARL coopérative de consommation;2020;3
7171;Service déconcentré de l'État à compétence (inter) régionale;2020;3
31;Personne morale de droit étranger, immatriculée au RCS (registre du commerce et des sociétés);2020;2
5192;Société coopérative de banque populaire;2020;3
5615;SA d'économie mixte à directoire;2020;3
53;Société en commandite;2020;2
58;Société européenne;2020;2
6560;Autre société civile coopérative;2020;3
9150;Association syndicale libre;2020;3
5309;Société en commandite par actions coopérative;2020;3
7355;Syndicat mixte ouvert;2020;3
5770;Société de Participations Financières de Profession Libérale Société par actions simplifiée (SPFPL SAS);2020;3
7379;(Autre) Établissement public administratif local;2020;3
5370;Société de Participations Financières de Profession Libérale Société en commandite par actions (SPFPL SCA);2020;3
7323;Association foncière de remembrement;2020;3
54;Société à responsabilité limitée (SARL);2020;2
5422;SARL immobilière pour le commerce et l'industrie (SICOMI);2020;3
5570;Société de Participations Financières de Profession Libérale Société anonyme à conseil d'administration (SPFPL SA à conseil d'administration);2020;3
00;Organisme de placement collectif en valeurs mobilières sans personnalité morale;2020;2
5548;SA de crédit immobilier à conseil d'administration;2020;3
6511;Sociétés Interprofessionnelles de Soins Ambulatoires;2020;3
5642;SA d'attribution à directoire;2020;3
